Period,Dimension,Org_Level,Org_Code,Org_Geog_Code,Org_Name,Measure,Measure_Description,Count_Of,Value
January 2017,AgeAtBookingMotherAverage,National,ALL,,All Submitters,,,Average over women,29.5
January 2017,AgeAtBookingMotherAverage,Region (Geography),Q70,E39000025,NHS England South (Wessex),,,Average over women,29.6
January 2017,AgeAtBookingMotherAverage,Region (Geography),Q71,E39000018,NHS England London,,,Average over women,31.1
January 2017,AgeAtBookingMotherAverage,Region (Geography),Q72,E39000029,NHS England North (Yorkshire and Humber),,,Average over women,28.9
January 2017,AgeAtBookingMotherAverage,Region (Geography),Q74,E39000027,NHS England North (Cumbria and North East),,,Average over women,28.5
January 2017,AgeAtBookingMotherAverage,Region (Geography),Q75,E39000026,NHS England North (Cheshire and Merseyside),,,Average over women,29.0
January 2017,AgeAtBookingMotherAverage,Region (Geography),Q76,E39000032,NHS England Midlands and East (North Midlands),,,Average over women,28.8
January 2017,AgeAtBookingMotherAverage,Region (Geography),Q77,E39000033,NHS England Midlands and East (West Midlands),,,Average over women,29.1
January 2017,AgeAtBookingMotherAverage,Region (Geography),Q78,E39000030,NHS England Midlands and East (Central Midlands),,,Average over women,29.6
January 2017,AgeAtBookingMotherAverage,Region (Geography),Q79,E39000031,NHS England Midlands and East (East),,,Average over women,29.3
January 2017,AgeAtBookingMotherAverage,Region (Geography),Q80,E39000036,NHS England South (South West),,,Average over women,29.4
January 2017,AgeAtBookingMotherAverage,Region (Geography),Q81,E39000035,NHS England South (South East),,,Average over women,29.8
January 2017,AgeAtBookingMotherAverage,Region (Geography),Q82,E39000034,NHS England South (South Central),,,Average over women,30.0
January 2017,AgeAtBookingMotherAverage,Region (Geography),Q83,E39000037,NHS England North (Greater Manchester),,,Average over women,29.3
January 2017,AgeAtBookingMotherAverage,Region (Geography),Q84,E39000038,NHS England North (Lancashire),,,Average over women,28.4
January 2017,AgeAtBookingMotherAverage,Provider,R1F,,Isle of Wight NHS Trust,,,Average over women,*
January 2017,AgeAtBookingMotherAverage,Provider,R1H,,Barts Health NHS Trust,,,Average over women,30.3
January 2017,AgeAtBookingMotherAverage,Provider,R1K,,London North West Healthcare NHS Trust,,,Average over women,29.7
January 2017,AgeAtBookingMotherAverage,Provider,RA2,,Royal Surrey County Hospital NHS Foundation Trust,,,Average over women,29.3
January 2017,AgeAtBookingMotherAverage,Provider,RA3,,Weston Area Health NHS Trust,,,Average over women,27.6
January 2017,AgeAtBookingMotherAverage,Provider,RA4,,Yeovil District Hospital NHS Foundation Trust,,,Average over women,*
January 2017,AgeAtBookingMotherAverage,Provider,RA7,,University Hospitals Bristol NHS Foundation Trust,,,Average over women,30.4
January 2017,AgeAtBookingMotherAverage,Provider,RA9,,Torbay and South Devon NHS Foundation Trust,,,Average over women,*
January 2017,AgeAtBookingMotherAverage,Provider,RAE,,Bradford Teaching Hospitals NHS Foundation Trust,,,Average over women,30.5
January 2017,AgeAtBookingMotherAverage,Provider,RAJ,,Southend University Hospital NHS Foundation Trust,,,Average over women,29.4
January 2017,AgeAtBookingMotherAverage,Provider,RAL,,Royal Free London NHS Foundation Trust,,,Average over women,30.8
January 2017,AgeAtBookingMotherAverage,Provider,RAP,,North Middlesex University Hospital NHS Trust,,,Average over women,29.7
January 2017,AgeAtBookingMotherAverage,Provider,RAS,,The Hillingdon Hospitals NHS Foundation Trust,,,Average over women,30.3
January 2017,AgeAtBookingMotherAverage,Provider,RAX,,Kingston Hospital NHS Foundation Trust,,,Average over women,32.3
January 2017,AgeAtBookingMotherAverage,Provider,RBA,,Taunton and Somerset NHS Foundation Trust,,,Average over women,28.8
January 2017,AgeAtBookingMotherAverage,Provider,RBD,,Dorset County Hospital NHS Foundation Trust,,,Average over women,29.9
January 2017,AgeAtBookingMotherAverage,Provider,RBK,,Walsall Healthcare NHS Trust,,,Average over women,27.9
January 2017,AgeAtBookingMotherAverage,Provider,RBL,,Wirral University Teaching Hospital NHS Foundation Trust,,,Average over women,29.0
January 2017,AgeAtBookingMotherAverage,Provider,RBN,,St Helens and Knowsley Hospital Services NHS Trust,,,Average over women,28.1
January 2017,AgeAtBookingMotherAverage,Provider,RBT,,Mid Cheshire Hospitals NHS Foundation Trust,,,Average over women,28.6
January 2017,AgeAtBookingMotherAverage,Provider,RBZ,,Northern Devon Healthcare NHS Trust,,,Average over women,28.7
January 2017,AgeAtBookingMotherAverage,Provider,RC1,,Bedford Hospital NHS Trust,,,Average over women,29.9
January 2017,AgeAtBookingMotherAverage,Provider,RC9,,Luton and Dunstable University Hospital NHS Foundation Trust,,,Average over women,29.8
January 2017,AgeAtBookingMotherAverage,Provider,RCB,,York Teaching Hospital NHS Foundation Trust,,,Average over women,29.1
January 2017,AgeAtBookingMotherAverage,Provider,RCD,,Harrogate and District NHS Foundation Trust,,,Average over women,30.6
January 2017,AgeAtBookingMotherAverage,Provider,RCF,,Airedale NHS Foundation Trust,,,Average over women,29.3
January 2017,AgeAtBookingMotherAverage,Provider,RCX,,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",,,Average over women,27.8
January 2017,AgeAtBookingMotherAverage,Provider,RD1,,Royal United Hospitals Bath NHS Foundation Trust,,,Average over women,29.2
January 2017,AgeAtBookingMotherAverage,Provider,RD3,,Poole Hospital NHS Foundation Trust,,,Average over women,29.6
January 2017,AgeAtBookingMotherAverage,Provider,RD8,,Milton Keynes University Hospital NHS Foundation Trust,,,Average over women,30.0
January 2017,AgeAtBookingMotherAverage,Provider,RDD,,Basildon and Thurrock University Hospitals NHS Foundation Trust,,,Average over women,28.7
January 2017,AgeAtBookingMotherAverage,Provider,RDE,,Colchester Hospital University NHS Foundation Trust,,,Average over women,29.0
January 2017,AgeAtBookingMotherAverage,Provider,RDU,,Frimley Health NHS Foundation Trust,,,Average over women,30.8
January 2017,AgeAtBookingMotherAverage,Provider,RDZ,,The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,,,Average over women,30.1
January 2017,AgeAtBookingMotherAverage,Provider,RE9,,South Tyneside NHS Foundation Trust,,,Average over women,29.1
January 2017,AgeAtBookingMotherAverage,Provider,REF,,Royal Cornwall Hospitals NHS Trust,,,Average over women,29.0
January 2017,AgeAtBookingMotherAverage,Provider,REP,,Liverpool Women's NHS Foundation Trust,,,Average over women,28.9
January 2017,AgeAtBookingMotherAverage,Provider,RF4,,"Barking, Havering and Redbridge University Hospitals NHS Trust",,,Average over women,29.7
January 2017,AgeAtBookingMotherAverage,Provider,RFF,,Barnsley Hospital NHS Foundation Trust,,,Average over women,27.9
January 2017,AgeAtBookingMotherAverage,Provider,RFR,,The Rotherham NHS Foundation Trust,,,Average over women,28.6
January 2017,AgeAtBookingMotherAverage,Provider,RGN,,Peterborough and Stamford Hospitals NHS Foundation Trust,,,Average over women,28.8
January 2017,AgeAtBookingMotherAverage,Provider,RGQ,,Ipswich Hospital NHS Trust,,,Average over women,26.3
January 2017,AgeAtBookingMotherAverage,Provider,RGR,,West Suffolk NHS Foundation Trust,,,Average over women,28.5
January 2017,AgeAtBookingMotherAverage,Provider,RGT,,Cambridge University Hospitals NHS Foundation Trust,,,Average over women,31.1
January 2017,AgeAtBookingMotherAverage,Provider,RH8,,Royal Devon and Exeter NHS Foundation Trust,,,Average over women,29.5
January 2017,AgeAtBookingMotherAverage,Provider,RHM,,University Hospital Southampton NHS Foundation Trust,,,Average over women,29.1
January 2017,AgeAtBookingMotherAverage,Provider,RHQ,,Sheffield Teaching Hospitals NHS Foundation Trust,,,Average over women,29.4
January 2017,AgeAtBookingMotherAverage,Provider,RHU,,Portsmouth Hospitals NHS Trust,,,Average over women,28.8
