Period,Dimension,Org_Level,Org_Code,Org_Geog_Code,Org_Name,Measure,Measure_Description,Count_Of,Value
Mar-18,AgeAtBookingMotherAverage,National,ALL,,All Submitters,,,Average over women,29.8
Mar-18,AgeAtBookingMotherGroup,National,ALL,,All Submitters,20 to 24,,Women,8409
Mar-18,AgeAtBookingMotherGroup,National,ALL,,All Submitters,25 to 29,,Women,15601
Mar-18,AgeAtBookingMotherGroup,National,ALL,,All Submitters,30 to 34,,Women,17769
Mar-18,AgeAtBookingMotherGroup,National,ALL,,All Submitters,35 to 39,,Women,9686
Mar-18,AgeAtBookingMotherGroup,National,ALL,,All Submitters,40 to 44,,Women,2057
Mar-18,AgeAtBookingMotherGroup,National,ALL,,All Submitters,45 or Over,,Women,160
Mar-18,AgeAtBookingMotherGroup,National,ALL,,All Submitters,Under 20,,Women,1960
Mar-18,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,19-,,Women,1960
Mar-18,AgeAtBookingMotherGroup20,National,ALL,,All Submitters,20+,,Women,53682
Mar-18,ApgarScore5TermGroup7,National,ALL,,All Submitters,0 to 6,,Babies,494
Mar-18,ApgarScore5TermGroup7,National,ALL,,All Submitters,7 to 10,,Babies,39231
Mar-18,ApgarScore5TermGroup7,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,3016
Mar-18,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Maternal or Donor Breast Milk,,Babies,30635
Mar-18,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,5977
Mar-18,BabyFirstFeedBreastMilkStatus,National,ALL,,All Submitters,Not Breast Milk,,Babies,10520
Mar-18,BirthweightTermGroup,National,ALL,,All Submitters,"1,500g to 1,999g",,Babies,50
Mar-18,BirthweightTermGroup,National,ALL,,All Submitters,"2,000g to 2,499g",,Babies,1168
Mar-18,BirthweightTermGroup,National,ALL,,All Submitters,"2,500g to 2,999g",,Babies,6956
Mar-18,BirthweightTermGroup,National,ALL,,All Submitters,"3,000g to 3,499g",,Babies,16370
Mar-18,BirthweightTermGroup,National,ALL,,All Submitters,"3,500g to 3,999g",,Babies,13307
Mar-18,BirthweightTermGroup,National,ALL,,All Submitters,"4,000g to 4,499g",,Babies,4010
Mar-18,BirthweightTermGroup,National,ALL,,All Submitters,"4,500g to 4,999g",,Babies,500
Mar-18,BirthweightTermGroup,National,ALL,,All Submitters,"5,000g and over",,Babies,42
Mar-18,BirthweightTermGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,211
Mar-18,BirthweightTermGroup,National,ALL,,All Submitters,"Under 1,500g",,Babies,10
Mar-18,BirthweightTermGroup,National,ALL,,All Submitters,Unknown,,Babies,103
Mar-18,BirthweightTermGroup2500,National,ALL,,All Submitters,"2,500g and over",,Babies,41185
Mar-18,BirthweightTermGroup2500,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,211
Mar-18,BirthweightTermGroup2500,National,ALL,,All Submitters,"Under 2,500g",,Babies,1228
Mar-18,BirthweightTermGroup2500,National,ALL,,All Submitters,Unknown,,Babies,103
Mar-18,BMI,National,ALL,,All Submitters,Missing Value,,Women,11335
Mar-18,BMI,National,ALL,,All Submitters,Normal,,Women,20987
Mar-18,BMI,National,ALL,,All Submitters,Obese,,Women,9824
Mar-18,BMI,National,ALL,,All Submitters,Overweight,,Women,12625
Mar-18,BMI,National,ALL,,All Submitters,Underweight,,Women,1455
Mar-18,CigarettesPerDayAverage,National,ALL,,All Submitters,,,Average over women,7.2
Mar-18,ComplexSocialFactorsInd,National,ALL,,All Submitters,Missing Value,Missing Value,Women,10769
Mar-18,ComplexSocialFactorsInd,National,ALL,,All Submitters,N,No,Women,40034
Mar-18,ComplexSocialFactorsInd,National,ALL,,All Submitters,Value outside reporting parameters,Value outside reporting parameters,Women,3
Mar-18,ComplexSocialFactorsInd,National,ALL,,All Submitters,Y,Yes,Women,5320
Mar-18,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Elective caesarean section,,Babies,6176
Mar-18,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Emergency caesarean section,,Babies,7416
Mar-18,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Instrumental,,Babies,4972
Mar-18,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Missing Value / Value outside reporting parameters,,Babies,260
Mar-18,DeliveryMethodBabyGroup,National,ALL,,All Submitters,Other,,Babies,1008
